ID,NIP,Nama,Email,Unit_Kerja,Status,Created_At
464,"NIP0000100459","Dosen 459","dosen459@example.edu","Unit 10","aktif",2026-02-16 03:28:14
465,"NIP0000100460","Dosen 460","dosen460@example.edu","Unit 1","aktif",2026-02-16 03:28:14
1,"199801012021121001","Dr. Bambang Sutomo, M.Kom","bambang@universitas.ac.id","Fakultas Sains","aktif",2026-02-16 03:27:18
2,"199702152021121002","Prof. Siti Nurhaliza, M.Si","siti@universitas.ac.id","Fakultas Teknik","aktif",2026-02-16 03:27:18
3,"199503202021121003","Ir. Rudi Hartono","rudi@universitas.ac.id","Fakultas Teknik","aktif",2026-02-16 03:27:18
4,"77070700000001","Mr. Kania Budiyanto","kania.budiyanto.1@universitas.ac.id","Fakultas Humaniora","aktif",2026-02-16 03:27:18
5,"62080700000002","Prof. Elon Sudiati","elon.sudiati.2@universitas.ac.id","Fakultas Ekonomi","aktif",2026-02-16 03:27:18
6,"84061400000003","Dr. Umay Mulyani","umay.mulyani.3@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
7,"93120300000004","Asmadi Winarsih","asmadi.winarsih.4@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
8,"66120100000005","Dr. Bakda Sitompul","bakda.sitompul.5@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
9,"76080700000006","Mumpuni Sitorus","mumpuni.sitorus.6@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
10,"70111700000007","Mr. Nabila Waskita","nabila.waskita.7@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
11,"66120300000008","Dr. Putri Hutapea","putri.hutapea.8@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
12,"73082200000009","Calista Lestari","calista.lestari.9@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
13,"64020700000010","Ir. Agnes Mansur","agnes.mansur.10@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
14,"62110700000011","Dr. Paulin Hariyah","paulin.hariyah.11@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
15,"99092700000012","Prof. Sakti Napitupulu","sakti.napitupulu.12@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
16,"72101200000013","Mr. Puspa Saptono","puspa.saptono.13@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
17,"89122800000014","Ir. Ega Mandala","ega.mandala.14@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
18,"70040500000015","Prof. Genta Budiman","genta.budiman.15@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
19,"95120500000016","Dr. Baktianto Wahyuni","baktianto.wahyuni.16@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
20,"97032300000017","Ajeng Utami","ajeng.utami.17@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
21,"74012100000018","Mrs. Mustika Suartini","mustika.suartini.18@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
22,"84122200000019","Prof. Harjo Hakim","harjo.hakim.19@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
23,"70112600000020","Mrs. Alika Rahayu","alika.rahayu.20@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
24,"78101500000021","Kemal Tarihoran","kemal.tarihoran.21@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
25,"77122700000022","Mr. Tri Lazuardi","tri.lazuardi.22@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
26,"90101400000023","Dr. Juli Hardiansyah","juli.hardiansyah.23@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
27,"93021100000024","Najam Salahudin","najam.salahudin.24@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
28,"93012100000025","Mrs. Kamidin Widodo","kamidin.widodo.25@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
29,"67012700000026","Galur Mangunsong","galur.mangunsong.26@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
30,"75082200000027","Ir. Janet Halimah","janet.halimah.27@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
31,"62011200000028","Agus Andriani","agus.andriani.28@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
32,"81082700000029","Zaenab Novitasari","zaenab.novitasari.29@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
33,"70090100000030","Mr. Unjani Lailasari","unjani.lailasari.30@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
34,"77102300000031","Ir. Himawan Wibisono","himawan.wibisono.31@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
35,"86011800000032","Mr. Raina Wulandari","raina.wulandari.32@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
36,"88111900000033","Silvia Ardianto","silvia.ardianto.33@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
37,"68070100000034","Anastasia Usada","anastasia.usada.34@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
38,"60080700000035","Mr. Laswi Suryatmi","laswi.suryatmi.35@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
39,"86012400000036","Wadi Dongoran","wadi.dongoran.36@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
40,"78072500000037","Mrs. Tiara Usamah","tiara.usamah.37@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
41,"99111100000038","Citra Susanti","citra.susanti.38@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
42,"96050100000039","Mr. Ganjaran Pradipta","ganjaran.pradipta.39@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
43,"83021800000040","Prof. Emong Sihombing","emong.sihombing.40@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
44,"77110800000041","Mrs. Murti Fujiati","murti.fujiati.41@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
45,"71010700000042","Mr. Juli Handayani","juli.handayani.42@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
46,"79010700000043","Mr. Wani Susanti","wani.susanti.43@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
47,"96122300000044","Ir. Kariman Pertiwi","kariman.pertiwi.44@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
48,"62031500000045","Prof. Cawisadi Marbun","cawisadi.marbun.45@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
49,"81060500000046","Dr. Maimunah Maryati","maimunah.maryati.46@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
50,"92121800000047","Ir. Gatra Waskita","gatra.waskita.47@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
51,"98031600000048","Ir. Tania Melani","tania.melani.48@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
52,"80092100000049","Prof. Ratna Laksmiwati","ratna.laksmiwati.49@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
53,"96110300000050","Prof. Gamblang Waskita","gamblang.waskita.50@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
54,"91071100000051","Rina Gunawan","rina.gunawan.51@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
55,"60041300000052","Mrs. Ratna Uyainah","ratna.uyainah.52@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
56,"91051600000053","Prof. Ghaliyati Melani","ghaliyati.melani.53@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
57,"81110200000054","Dr. Violet Maryati","violet.maryati.54@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
58,"74030700000055","Dr. Gamani Prakasa","gamani.prakasa.55@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
59,"77022200000056","Mr. Kasiyah Nuraini","kasiyah.nuraini.56@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
60,"96040400000057","Pangeran Prasetya","pangeran.prasetya.57@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
61,"92082600000058","Lalita Fujiati","lalita.fujiati.58@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
62,"97121900000059","Mrs. Imam Kusmawati","imam.kusmawati.59@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
63,"85112600000060","Prof. Kenari Usamah","kenari.usamah.60@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
64,"78041000000061","Cawisadi Nashiruddin","cawisadi.nashiruddin.61@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
65,"66060900000062","Prof. Uli Waskita","uli.waskita.62@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
66,"60112000000063","Usyi Melani","usyi.melani.63@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
67,"93122200000064","Mrs. Victoria Andriani","victoria.andriani.64@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
68,"76011000000065","Prof. Paiman Hassanah","paiman.hassanah.65@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
69,"83032200000066","Kariman Pratiwi","kariman.pratiwi.66@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
70,"91061500000067","Mr. Ilyas Wastuti","ilyas.wastuti.67@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
71,"93071300000068","Tania Purnawati","tania.purnawati.68@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
72,"84042000000069","Mr. Dodo Ramadan","dodo.ramadan.69@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
73,"71042400000070","Mr. Paulin Salahudin","paulin.salahudin.70@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
74,"62011300000071","Victoria Anggraini","victoria.anggraini.71@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
75,"66010800000072","Dr. Maida Suryatmi","maida.suryatmi.72@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
76,"63041600000073","Prof. Jayeng Usamah","jayeng.usamah.73@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
77,"69110800000074","Mr. Jane Mahendra","jane.mahendra.74@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
78,"69070700000075","Ir. Ana Usamah","ana.usamah.75@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
79,"67072100000076","Ir. Malika Prasetyo","malika.prasetyo.76@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
80,"99012700000077","Prof. Darmaji Natsir","darmaji.natsir.77@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
81,"77081600000078","Nugraha Widodo","nugraha.widodo.78@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
82,"92112300000079","Cawisadi Laksita","cawisadi.laksita.79@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
83,"76092400000080","Rahayu Maryati","rahayu.maryati.80@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
84,"96061800000081","Dr. Jail Damanik","jail.damanik.81@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
85,"60071200000082","Dr. Paulin Pudjiastuti","paulin.pudjiastuti.82@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
86,"96110500000083","Mr. Pandu Sitompul","pandu.sitompul.83@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
87,"93082800000084","Prof. Gamblang Winarsih","gamblang.winarsih.84@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
88,"91021000000085","Dr. Kasusra Mulyani","kasusra.mulyani.85@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
89,"97122000000086","Ir. Darimin Widodo","darimin.widodo.86@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
90,"78111600000087","Asmadi Nurdiyanti","asmadi.nurdiyanti.87@universitas.ac.id","Unit 6","aktif",2026-02-16 03:28:13
91,"86111600000088","Dr. Amelia Anggriawan","amelia.anggriawan.88@universitas.ac.id","Unit 7","aktif",2026-02-16 03:28:13
92,"62102000000089","Ir. Kamaria Halimah","kamaria.halimah.89@universitas.ac.id","Unit 8","aktif",2026-02-16 03:28:13
93,"68122300000090","Gandewa Suryatmi","gandewa.suryatmi.90@universitas.ac.id","Unit 9","aktif",2026-02-16 03:28:13
94,"73102100000091","Dr. Estiono Kurniawan","estiono.kurniawan.91@universitas.ac.id","Unit 10","aktif",2026-02-16 03:28:13
95,"82091300000092","Dr. Daliman Widiastuti","daliman.widiastuti.92@universitas.ac.id","Unit 1","aktif",2026-02-16 03:28:13
96,"81020700000093","Prof. Kiandra Sihombing","kiandra.sihombing.93@universitas.ac.id","Unit 2","aktif",2026-02-16 03:28:13
97,"70080100000094","Ir. Nadia Uyainah","nadia.uyainah.94@universitas.ac.id","Unit 3","aktif",2026-02-16 03:28:13
98,"77040900000095","Ir. Agus Uyainah","agus.uyainah.95@universitas.ac.id","Unit 4","aktif",2026-02-16 03:28:13
99,"98091600000096","Prof. Ilsa Pangestu","ilsa.pangestu.96@universitas.ac.id","Unit 5","aktif",2026-02-16 03:28:13
